 Diffraction intensities for potential:3x3MoS210001.in                         
#    -15     2       1.6723910758E-004
#    -15     3       3.3283529996E-003
#    -15     4       1.3629877330E-004
#    -15     5       1.0986162986E-004
#    -15     6       5.4871936156E-003
#    -15     7       2.4306478137E-004
#    -15     8       2.6709370273E-004
#    -15     9       3.0979584467E-003
#    -15    10       5.9519278517E-005
#    -15    11       1.5015644572E-005
#    -15    12       9.0694316579E-004
#    -15    13       1.5607992423E-004
#    -15    14       3.3591459997E-004
#    -15    15       3.6448104682E-004
#    -15    16       2.0527209929E-004
#    -14   -12       1.0341935626E-004
#    -14   -11       3.4505813981E-004
#    -14   -10       3.4666504508E-004
#    -14    -9       3.6259905955E-004
#    -14    -8       3.7472732634E-004
#    -14    -7       2.0089636605E-004
#    -14    -6       6.8491570123E-005
#    -14    -5       4.1138919865E-005
#    -14    -4       3.4713354716E-005
#    -14    -3       9.3881770129E-005
#    -14    -2       6.7646048087E-005
#    -14    -1       5.0835213567E-005
#    -14     0       2.5515192788E-004
#    -14     1       3.9783913760E-004
#    -14     2       2.3184037233E-004
#    -14     3       3.4643066009E-005
#    -14     4       1.1005920904E-005
#    -14     5       5.2996518759E-005
#    -14     6       2.7925935812E-004
#    -14     7       5.2040658161E-004
#    -14     8       4.4951886878E-004
#    -14     9       1.5968105927E-004
#    -14    10       1.5794306902E-004
#    -14    11       9.6344450215E-005
#    -14    12       2.9327866522E-004
#    -14    13       2.1260784585E-004
#    -14    14       4.2294885960E-004
#    -14    15       4.1465446153E-004
#    -14    16       1.6097237400E-004
#    -13   -13       3.5102369642E-005
#    -13   -12       1.0303128898E-004
#    -13   -11       5.3008147051E-004
#    -13   -10       4.0655013436E-004
#    -13    -9       3.5275888617E-004
#    -13    -8       2.9561484484E-004
#    -13    -7       1.4479870399E-004
#    -13    -6       6.6010118190E-005
#    -13    -5       2.5907180074E-005
#    -13    -4       1.1143253865E-004
#    -13    -3       2.0033560030E-004
#    -13    -2       1.6729620174E-004
#    -13    -1       3.9790796730E-004
#    -13     0       5.8891828745E-004
#    -13     1       2.7366859194E-004
#    -13     2       3.4861047409E-005
#    -13     3       1.6611634022E-004
#    -13     4       2.9934162290E-004
#    -13     5       4.8489759140E-004
#    -13     6       8.3661085870E-004
#    -13     7       1.0214093701E-003
#    -13     8       6.0114691683E-004
#    -13     9       4.7642786232E-004
#    -13    10       1.8608326027E-004
#    -13    11       1.3740123822E-004
#    -13    12       8.0110345261E-005
#    -13    13       4.6550873185E-004
#    -13    14       8.7698089507E-004
#    -13    15       5.6278797253E-004
#    -12   -13       1.2081997225E-004
#    -12   -12       2.2599904073E-004
#    -12   -11       3.9030610740E-004
#    -12   -10       4.0110407126E-004
#    -12    -9       4.9947190715E-004
#    -12    -8       1.9449855624E-004
#    -12    -7       8.6245487664E-005
#    -12    -6       8.9972151335E-004
#    -12    -5       4.8547472376E-005
#    -12    -4       2.3498509905E-004
#    -12    -3       3.3277953645E-003
#    -12    -2       2.3194945608E-004
#    -12    -1       2.7373401414E-004
#    -12     0       1.4334980182E-002
#    -12     1       1.5388871883E-005
#    -12     2       1.4719554259E-004
#    -12     3       1.2583894195E-002
#    -12     4       3.3280189892E-004
#    -12     5       4.9945426637E-004
#    -12     6       8.0828359092E-003
#    -12     7       7.2341440889E-004
#    -12     8       5.2815223648E-004
#    -12     9       1.5510442301E-003
#    -12    10       3.7085866771E-004
#    -12    11       3.7296955503E-004
#    -12    12       1.7402094836E-003
#    -12    13       2.4375735405E-004
#    -12    14       1.7485860831E-004
#    -12    15       2.4179221130E-003
#    -11   -14       1.3515811291E-004
#    -11   -13       1.8373044001E-004
#    -11   -12       3.8548546063E-004
#    -11   -11       3.1164521906E-004
#    -11   -10       3.8161807457E-004
#    -11    -9       3.0167140368E-004
#    -11    -8       5.9993395251E-005
#    -11    -7       4.0265843930E-005
#    -11    -6       7.0976782389E-005
#    -11    -5       1.9992725539E-004
#    -11    -4       1.3643911867E-004
#    -11    -3       3.4699712953E-005
#    -11    -2       3.4874514295E-005
#    -11    -1       1.5381453808E-005
#    -11     0       3.5318417707E-004
#    -11     1       6.8775265421E-004
#    -11     2       4.3132051033E-004
#    -11     3       1.3580485098E-004
#    -11     4       1.6869402666E-004
#    -11     5       3.7446217374E-004
#    -11     6       2.2892382071E-004
#    -11     7       2.4442313054E-004
#    -11     8       4.7788352489E-004
#    -11     9       7.0423799683E-004
#    -11    10       2.9255886327E-004
#    -11    11       7.2147979293E-005
#    -11    12       2.1263355098E-004
#    -11    13       2.3390490917E-004
#    -11    14       5.3813290705E-004
#    -10   -14       9.9048365241E-005
#    -10   -13       3.3516028760E-004
#    -10   -12       1.8791720816E-004
#    -10   -11       2.9023127119E-004
#    -10   -10       3.4448611687E-004
#    -10    -9       5.0544916286E-005
#    -10    -8       6.0665402667E-005
#    -10    -7       2.1618114910E-004
#    -10    -6       2.9194958894E-004
#    -10    -5       1.0999910344E-004
#    -10    -4       1.0986104944E-005
#    -10    -3       1.6603571225E-004
#    -10    -2       1.4710778262E-004
#    -10    -1       6.8765393101E-004
#    -10     0       1.5130759927E-003
#    -10     1       1.2592123744E-003
#    -10     2       6.6235188924E-004
#    -10     3       7.6203670901E-004
#    -10     4       7.0396439082E-004
#    -10     5       2.5826197411E-004
#    -10     6       2.5496527814E-005
#    -10     7       7.1657085144E-005
#    -10     8       2.1836656449E-004
#    -10     9       1.8866332143E-004
#    -10    10       1.7083442031E-004
#    -10    11       1.7016918808E-004
#    -10    12       5.8956753082E-004
#    -10    13       2.3987924879E-004
#    -10    14       7.0639483211E-004
#     -9   -15       3.3785704746E-005
#     -9   -14       2.9217202059E-004
#     -9   -13       3.4424740697E-004
#     -9   -12       2.4434854486E-004
#     -9   -11       2.2702077218E-004
#     -9   -10       1.0449340968E-004
#     -9    -9       6.9293656062E-004
#     -9    -8       2.9841554147E-004
#     -9    -7       3.6212865385E-004
#     -9    -6       5.4874771187E-003
#     -9    -5       5.2942149353E-005
#     -9    -4       2.9924964600E-004
#     -9    -3       1.2584366835E-002
#     -9    -2       4.3125294436E-004
#     -9    -1       1.2591463656E-003
#     -9     0       2.7127560365E-002
#     -9     1       1.1873452602E-003
#     -9     2       8.1106127224E-004
#     -9     3       2.4241684305E-002
#     -9     4       3.6458475935E-004
#     -9     5       9.0270874983E-005
#     -9     6       1.2253312333E-002
#     -9     7       3.9147570588E-004
#     -9     8       2.0106230996E-004
#     -9     9       1.5035127140E-002
#     -9    10       3.5937627777E-004
#     -9    11       2.7647579449E-004
#     -9    12       7.3420280076E-004
#     -9    13       4.0613575699E-004
#     -8   -15       2.1798784063E-004
#     -8   -14       6.5456112790E-004
#     -8   -13       2.7851181229E-004
#     -8   -12       1.3499457389E-004
#     -8   -11       1.5063159407E-004
