,z,theta,DK,signal
81,5.1899999999999995,2.653063588409478,-73.49246678686487,0.020962400000000003
82,5.09,3.560095609391603,-71.73447309661124,0.02176280000000002
83,4.99,4.493208204404333,-69.92774091135544,0.021987600000000003
84,4.89,5.45302587457149,-68.071716939209,0.0225876
85,4.79,6.440149389637582,-66.16598966248331,0.023257999999999984
86,4.6899999999999995,7.455149314915837,-64.21031102190403,0.02340280000000002
87,4.59,8.498558879493684,-62.20461957997549,0.024621200000000006
88,4.49,9.570866180092077,-60.149065016258994,0.02418119999999999
89,4.39,10.672505729098427,-58.044033738254534,0.024849600000000003
90,4.29,11.803849372638968,-55.8901753121353,0.025200000000000007
91,4.1899999999999995,12.965196625304166,-53.68842932841828,0.026013199999999976
92,4.09,14.156764492344207,-51.44005222019158,0.026112399999999994
93,3.9899999999999998,15.378676877693671,-49.14664344815098,0.026620799999999983
94,3.8899999999999997,16.630953706721428,-46.81017036095732,0.02770879999999999
95,3.79,17.913499925518742,-44.43299093609485,0.027757999999999988
96,3.69,19.226094572897537,-42.0178735115961,0.028316800000000003
97,3.59,20.568380155778925,-39.56801254006657,0.02863400000000002
98,3.4899999999999998,21.93985259164981,-37.08703934183343,0.029437199999999972
99,3.3899999999999997,23.339852011233628,-34.579026812904516,0.029656800000000032
100,3.29,24.767554738145,-32.0484870650348,0.030205600000000016
101,3.19,26.221966777554467,-29.50036104820763,0.03070159999999998
102,3.09,27.701919150204276,-26.939999337304894,0.03168240000000003
103,2.9899999999999998,29.206065399059458,-24.37313345906407,0.031681600000000004
104,2.8899999999999997,30.7328815714005,-21.80583739325288,0.032524399999999995
105,2.79,32.280668937866785,-19.244479199236714,0.03284679999999998
106,2.69,33.84755965135233,-16.695663086244966,0.033124800000000024
107,2.59,35.43152547338862,-14.166162647415018,0.03457400000000002
108,2.4899999999999998,37.03038960567865,-11.662846393491856,0.03561160000000002
109,2.3899999999999997,38.64184156307878,-9.192597126915054,0.035156000000000076
110,2.29,40.26345491615088,-6.762227063314289,0.035986799999999985
111,2.19,41.892707622059,-4.378390907217799,0.036362800000000015
112,2.09,43.52700455837128,-2.047499296477254,0.03686959999999997
113,1.99,45.163701781734176,0.22436487491065144,0.036561999999999956
114,1.89,46.80013195851015,2.4315247760835375,0.03698640000000001
115,1.7899999999999998,48.43363036245052,4.5687802801505795,0.03611319999999997
116,1.69,50.06156080898198,6.631468886977683,0.03458879999999997
117,1.5899999999999999,51.681340898544924,8.615515274485771,0.033590799999999955
118,1.49,53.29046597243015,10.517468291257845,0.03300560000000001
119,1.39,54.886531241498055,12.334524718319596,0.031318800000000015
120,1.29,56.46725162703319,14.064539657704344,0.03069520000000001
